threshold,precision,recall,f1,tp,fp,tn,fn,alerts,missed_positive
0.05,0.02785765636232926,0.952088452088452,0.05413145211985751,2325,81135,153318,117,83460,117
0.1,0.04306840950291003,0.9242424242424242,0.08230167557022262,2257,50148,184305,185,52405,185
0.15,0.06683168316831684,0.8955773955773956,0.12438150486265143,2187,30537,203916,255,32724,255
0.2,0.07220449453459162,0.871007371007371,0.13335423197492163,2127,27331,207122,315,29458,315
0.25,0.07858414079493771,0.8136773136773137,0.14332599992786815,1987,23298,211155,455,25285,455
0.3,0.08209767948395744,0.8026208026208026,0.14895880832953337,1960,21914,212539,482,23874,482
0.35,0.081769495362912,0.769041769041769,0.14782163800228265,1878,21089,213364,564,22967,564
0.4,0.08176986326261755,0.7371007371007371,0.1472091596810468,1800,20213,214240,642,22013,642
0.45,0.08372557409784624,0.7211302211302212,0.15003194888178914,1761,19272,215181,681,21033,681
0.5,0.08644303294958317,0.7133497133497133,0.15420023014959724,1742,18410,216043,700,20152,700
0.55,0.08715155398910605,0.6683046683046683,0.15419501133786848,1632,17094,217359,810,18726,810
0.6,0.09197570897942338,0.6388206388206388,0.16079987630778744,1560,15401,219052,882,16961,882
0.65,0.09560152641092588,0.5847665847665847,0.164336267909546,1428,13509,220944,1014,14937,1014
0.7,0.10727226763293166,0.5212940212940212,0.1779299741421483,1273,10594,223859,1169,11867,1169
0.75,0.149672131147541,0.3738738738738739,0.21376726761882464,913,5187,229266,1529,6100,1529
0.8,0.2777777777777778,0.2620802620802621,0.269700800674252,640,1664,232789,1802,2304,1802
0.85,0.34739099356683345,0.19901719901719903,0.2530590991929185,486,913,233540,1956,1399,1956
0.9,0.5772200772200772,0.12244062244062244,0.20202702702702702,299,219,234234,2143,518,2143
0.95,0.6357142857142857,0.03644553644553645,0.06893880712625872,89,51,234402,2353,140,2353
